"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","test_patch_a_object[]","test_dir1","Tue Jul 15 11:11:49 CEST 2025","passed","Tue Jul 15 11:11:49 CEST 2025","","test_pytest","",""
"","80","test_get_one_object","test_dir1","Tue Jul 15 11:11:49 CEST 2025","passed","Tue Jul 15 11:11:49 CEST 2025","","test_pytest","",""
"","82","test_delete_a_object","test_dir1","Tue Jul 15 11:11:50 CEST 2025","passed","Tue Jul 15 11:11:50 CEST 2025","","test_pytest","",""
"","74","test_add_object","test_dir1","Tue Jul 15 11:11:49 CEST 2025","passed","Tue Jul 15 11:11:49 CEST 2025","","test_pytest","",""
"","72","test_patch_a_object[!@#_]","test_dir1","Tue Jul 15 11:11:50 CEST 2025","passed","Tue Jul 15 11:11:50 CEST 2025","","test_pytest","",""
"","85","test_patch_a_object[1]","test_dir1","Tue Jul 15 11:11:50 CEST 2025","passed","Tue Jul 15 11:11:50 CEST 2025","","test_pytest","",""
"Как пользователь я хочу получать все объекты для мониторинга","105","test_get_all_objects","test_dir1","Tue Jul 15 11:11:49 CEST 2025","passed","Tue Jul 15 11:11:49 CEST 2025","","test_pytest","",""
"","80","Получение объекта","test_dir2","Tue Jul 15 11:11:50 CEST 2025","passed","Tue Jul 15 11:11:50 CEST 2025","","test_pytest2","",""
"","83","test_patch_a_object[1]","test_dir2","Tue Jul 15 11:11:51 CEST 2025","passed","Tue Jul 15 11:11:51 CEST 2025","","test_pytest2","",""
"","73","test_patch_a_object[]","test_dir2","Tue Jul 15 11:11:51 CEST 2025","passed","Tue Jul 15 11:11:51 CEST 2025","","test_pytest2","",""
"","70","test_delete_a_object","test_dir2","Tue Jul 15 11:11:51 CEST 2025","passed","Tue Jul 15 11:11:51 CEST 2025","","test_pytest2","",""
"","73","test_patch_a_object[!@#_]","test_dir2","Tue Jul 15 11:11:51 CEST 2025","passed","Tue Jul 15 11:11:51 CEST 2025","","test_pytest2","",""
