"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","test_patch_a_object[!@#_]","test_dir2","Mon Jul 14 19:41:28 CEST 2025","passed","Mon Jul 14 19:41:28 CEST 2025","","test_pytest2","",""
"","72","test_patch_a_object[1]","test_dir1","Mon Jul 14 19:41:26 CEST 2025","passed","Mon Jul 14 19:41:26 CEST 2025","","test_pytest","",""
"","69","test_get_one_object","test_dir1","Mon Jul 14 19:41:25 CEST 2025","passed","Mon Jul 14 19:41:25 CEST 2025","","test_pytest","",""
"","73","test_patch_a_object[!@#_]","test_dir1","Mon Jul 14 19:41:26 CEST 2025","passed","Mon Jul 14 19:41:26 CEST 2025","","test_pytest","",""
"","82","test_add_object","test_dir1","Mon Jul 14 19:41:26 CEST 2025","passed","Mon Jul 14 19:41:26 CEST 2025","","test_pytest","",""
"","103","test_get_all_objects","test_dir1","Mon Jul 14 19:41:26 CEST 2025","passed","Mon Jul 14 19:41:26 CEST 2025","","test_pytest","",""
"","82","test_delete_a_object","test_dir2","Mon Jul 14 19:41:28 CEST 2025","passed","Mon Jul 14 19:41:28 CEST 2025","","test_pytest2","",""
"","95","test_get_one_object","test_dir2","Mon Jul 14 19:41:27 CEST 2025","passed","Mon Jul 14 19:41:27 CEST 2025","","test_pytest2","",""
"","69","test_delete_a_object","test_dir1","Mon Jul 14 19:41:27 CEST 2025","passed","Mon Jul 14 19:41:27 CEST 2025","","test_pytest","",""
"","73","test_patch_a_object[]","test_dir1","Mon Jul 14 19:41:26 CEST 2025","passed","Mon Jul 14 19:41:26 CEST 2025","","test_pytest","",""
"","83","test_patch_a_object[]","test_dir2","Mon Jul 14 19:41:27 CEST 2025","passed","Mon Jul 14 19:41:27 CEST 2025","","test_pytest2","",""
"","73","test_patch_a_object[1]","test_dir2","Mon Jul 14 19:41:27 CEST 2025","passed","Mon Jul 14 19:41:27 CEST 2025","","test_pytest2","",""
